Nombre,Edad,EstadoCivil,Hijos,Residencia,propiedades,vivienda,educacion,empleo,telefono,Ingreso,balance,creditos_otro,suscrito notificaciones,Cta_Ahorros,Cta_Corriente,tarjeta_credito,monto_credito,duracion,tasa_mensual,mora_otros,Limite_Credito,razonPrestamo
Salomé Isa Capdevila Salinas,27,F Casada,2,4,Propietario apartamentos,Propietario,secundaria,Técnico,Si,Menor a 25000,182,ninguno,0,SI,SI,0,3643,15,1,no,Sin linea de crédito,Mejora Vivienda
Nilo Larrañaga Moliner,28,H Casado,1,2,Propietario automóviles,Propietario,primaria,Empresario,Si,25000-45000,276,ninguno,1,SI,SI,1,4249,30,4,no,entre 0-5000,Vehículo
Rodrigo Ordóñez Alcolea,32,H divorciado,2,3,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,2971,ninguno,1,SI,NO,0,1938,24,4,no,Sin linea de crédito,Viaje
Luciano Jeremías Salom Dalmau,34,H Soltero,0,1,desconocido/ninguno,Propietario,secundaria,Empresario,No,Menor a 25000,1064,ninguno,0,SI,SI,1,2910,24,2,no,Sin linea de crédito,Divisas 
Juanito Ramírez Alonso,28,H Soltero,2,2,Propietario automóviles,Propietario,desconocido,Dependiente,Si,25000-45000,1783,ninguno,0,SI,SI,0,2659,18,4,no,Sin linea de crédito,Mejora Vivienda
Nadia Roxana Sala Jódar,36,F Casada,0,3,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,-67,ninguno,0,NO,NO,1,1028,18,4,no,Sin limite,Vehículo
Alex Palomar Sevillano,39,H Soltero,1,4,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Menor a 25000,179,ninguno,0,SI,NO,1,3398,8,1,no,Sin linea de crédito,Vehículo
Hugo José Luis Lloret Marin,49,H Soltero,0,4,Propietario apartamentos,Alquiler,Superior,Dependiente,No,Menor a 25000,1199,ninguno,0,SI,SI,0,5801,12,2,no,Sin limite,Mejora Vivienda
Emma Pascual Bravo,34,F divorciada,0,3,Propietario automóviles,Propietario,primaria,Dependiente,No,25000-45000,214,ninguno,0,SI,SI,0,1525,24,4,no,Sin limite,Vehículo
Trinidad Pomares,31,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,6699,ninguno,0,NO,SI,0,4473,36,4,no,mayor 5000,Viaje
Aníbal Moreno Millán,28,H Soltero,1,4,Propietario automóviles,Propietario,secundaria,Dependiente,Si,25000-45000,1760,ninguno,0,SI,NO,1,1068,6,4,no,entre 0-5000,Viaje
Toño Cuervo Azcona,75,H Soltero,0,4,desconocido/ninguno,Propietario,Superior,Empresario,No,Menor a 25000,145,ninguno,0,NO,SI,1,6615,24,2,no,Sin linea de crédito,Divisas 
Calista Clemente-Merino,30,F Casada,1,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Mayor a 45000,978,ninguno,1,SI,NO,1,1864,18,4,no,Sin limite,Estudios
Rufina Seco Gelabert,24,F divorciada,3,2,Propietario apartamentos,Propietario,secundaria,Empresario,Si,Menor a 25000,1150,ninguno,1,NO,SI,0,7408,60,4,no,entre 0-5000,Vehículo
María Ángeles Rivero,24,F divorciada,3,4,Propietario automóviles,Alquiler,secundaria,Técnico,Si,Mayor a 45000,121,Bancario,1,SI,SI,0,11590,48,2,no,Sin limite,Divisas 
Joan Sales,23,H Soltero,2,4,desconocido/ninguno,Alquiler,Superior,Dependiente,Si,Menor a 25000,828,Bancario,1,SI,SI,1,4110,24,3,no,Sin linea de crédito,Mejora Vivienda
Cándido Cabo Capdevila,44,H divorciado,0,4,Propietario de Bienes Raices,Alquiler,secundaria,Empresario,No,25000-45000,244,ninguno,1,SI,NO,0,3384,6,1,no,Sin linea de crédito,Mejora Vivienda
Fátima Blasco Salgado,23,F Casada,2,4,Propietario apartamentos,Propietario,primaria,Técnico,Si,Menor a 25000,228,ninguno,0,SI,SI,0,2101,13,2,no,entre 0-5000,Viaje
Inmaculada Aller Jara,24,F divorciada,1,2,Propietario automóviles,Alquiler,Superior,Dependiente,Si,Menor a 25000,424,ninguno,1,NO,SI,0,1275,15,4,no,Sin linea de crédito,Electrodomésticos
Edelmiro Martin Casado,28,H Soltero,1,4,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,447,ninguno,0,SI,NO,1,4169,24,4,no,Sin linea de crédito,Mejora Vivienda
Wilfredo Guijarro Escudero,31,H divorciado,2,2,Propietario automóviles,Propietario,primaria,Técnico,Si,25000-45000,-195,ninguno,0,NO,NO,1,1521,10,4,no,entre 0-5000,Mejora Vivienda
Eugenia Bayo Adadia,24,F Casada,1,4,desconocido/ninguno,Propietario,Superior,Dependiente,No,25000-45000,1410,ninguno,0,SI,NO,1,5743,24,2,no,entre 0-5000,Estudios
Apolonia Oliveras Pallarès,26,F divorciada,2,4,Propietario automóviles,Alquiler,primaria,Técnico,Si,25000-45000,1084,ninguno,0,SI,SI,1,3599,21,1,no,Sin linea de crédito,Mejora Vivienda
Josep Fabra Grande,25,H Casado,0,3,Propietario de Bienes Raices,Alquiler,primaria,Dependiente,Si,Menor a 25000,10924,ninguno,0,NO,SI,1,3213,18,1,no,entre 0-5000,Viaje
Jose Francisco Durán Armas,33,H Soltero,0,1,Propietario de Bienes Raices,Propietario,Superior,Empresario,No,25000-45000,832,Bancario,0,SI,SI,0,4439,18,1,no,entre 0-5000,Negocio
Valero del Sosa,37,H Soltero,1,1,Propietario apartamentos,Propietario,Superior,Técnico,Si,Mayor a 45000,478,ninguno,0,SI,NO,0,3949,10,1,no,mayor 5000,Vehículo
Victoria Llabrés Cuervo,43,F Soltera,0,2,Propietario automóviles,Contrato A,Superior,Técnico,Si,Mayor a 45000,0,ninguno,0,SI,SI,0,1459,15,4,no,Sin limite,Viaje
Anastasio de Morata,23,H Soltero,0,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,Menor a 25000,3950,ninguno,0,SI,SI,0,882,13,4,no,entre 0-5000,Viaje
Leocadia Carbonell Camps,23,F Casada,2,4,desconocido/ninguno,Alquiler,desconocido,No calificado,Si,Menor a 25000,504,ninguno,0,SI,SI,0,3758,24,1,no,entre 0-5000,Viaje
Pastor Berto Roura Alegre,34,H Soltero,1,2,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,25000-45000,219,ninguno,0,SI,SI,0,1743,6,1,no,Sin limite,Negocio
Marino Pombo Escudero,32,H Soltero,0,3,desconocido/ninguno,Propietario,Superior,Dependiente,Si,25000-45000,1602,ninguno,1,SI,NO,1,1136,9,4,no,entre 0-5000,Estudios
Tomasa Giralt Ropero,23,F Soltera,0,4,Propietario de Bienes Raices,Alquiler,primaria,Dependiente,No,Mayor a 45000,2587,ninguno,0,SI,NO,0,1236,9,1,no,Sin limite,Electrodomésticos
Carlota Martí Belda,29,F Soltera,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,25000-45000,0,ninguno,1,SI,NO,1,959,9,1,no,entre 0-5000,Mejora Vivienda
Cleto Marcelino Criado Asensio,38,H Soltero,1,4,desconocido/ninguno,Propietario,Superior,Empresario,No,Menor a 25000,2303,ninguno,0,NO,SI,0,3229,18,2,no,Sin limite,Divisas 
Julio Cesar Murcia Valencia,28,H Soltero,0,2,Propietario apartamentos,Alquiler,secundaria,Dependiente,No,25000-45000,1660,ninguno,1,NO,SI,1,6199,12,4,no,Sin linea de crédito,Viaje
Gabriel Torrens Suárez,46,H Soltero,0,4,desconocido/ninguno,Propietario,Superior,Dependiente,No,25000-45000,32,ninguno,0,SI,SI,1,727,10,4,si,Sin limite,Estudios
Natalio Galán Baeza,23,H Soltero,1,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,25000-45000,278,Préstamo a plazo,1,SI,SI,1,1246,24,4,no,entre 0-5000,Vehículo
Bernardino Robles Mínguez,49,H Soltero,1,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,25000-45000,4,ninguno,0,SI,SI,0,2331,12,1,no,Sin limite,Viaje
Balduino Ribera-Galan,26,H Soltero,0,2,Propietario automóviles,Propietario,Superior,Empresario,No,25000-45000,318,ninguno,1,NO,SI,1,4463,36,4,no,Sin limite,Viaje
Nacho Esparza Carballo,28,H Casado,2,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Mayor a 45000,209,ninguno,0,SI,SI,1,776,12,4,no,Sin limite,Viaje
Emilia de Morcillo,23,F Casada,0,4,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,Si,Menor a 25000,271,ninguno,1,NO,SI,0,2406,30,4,no,Sin linea de crédito,Mejora Vivienda
Rosendo Cobos Torre,61,H Soltero,0,4,desconocido/ninguno,Propietario,desconocido,Dependiente,Si,Menor a 25000,3196,ninguno,0,SI,SI,0,1239,18,4,no,entre 0-5000,Estudios
Sandalio Esteve Saez,37,H Soltero,3,3,Propietario automóviles,Propietario,secundaria,Empresario,Si,25000-45000,4099,ninguno,0,NO,SI,0,3399,12,2,no,mayor 5000,Viaje
Gisela Ríos,36,F Soltera,1,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,Menor a 25000,2572,Préstamo a plazo,0,SI,NO,0,2247,12,2,no,mayor 5000,Vehículo
Porfirio del Alemán,21,H Casado,2,2,Propietario apartamentos,Alquiler,Superior,Dependiente,Si,Mayor a 45000,339,ninguno,0,SI,SI,0,1766,6,1,no,Sin limite,Mejora Vivienda
Fabio Serna Figuerola,25,H Soltero,3,1,Propietario automóviles,Propietario,primaria,No calificado,Si,Menor a 25000,0,ninguno,1,SI,SI,1,2473,18,4,no,Sin linea de crédito,Mejora Vivienda
Domingo Vilanova Navarrete,36,H Soltero,2,4,Propietario automóviles,Propietario,primaria,Dependiente,No,25000-45000,395,ninguno,0,NO,SI,0,1542,12,2,no,Sin limite,Negocio
Nilo Pons Tamarit,27,H Soltero,0,1,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,2039,ninguno,0,SI,SI,0,3850,18,3,no,Sin limite,Divisas 
Adora Gomez Palma,22,F Casada,1,4,Propietario automóviles,Alquiler,Superior,Dependiente,Si,Mayor a 45000,5450,ninguno,0,SI,NO,0,3650,18,1,no,Sin linea de crédito,Mejora Vivienda
Marciano Luís Palomares Cerezo,42,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,780,ninguno,1,SI,NO,0,3446,36,4,no,Sin linea de crédito,Mejora Vivienda
Jovita Osuna,40,F Casada,1,4,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,Si,25000-45000,0,ninguno,0,NO,SI,0,3001,18,2,no,entre 0-5000,Mejora Vivienda
Lucio Vazquez Bárcena,36,H Soltero,0,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,Mayor a 45000,8436,ninguno,0,SI,SI,1,3079,36,4,no,Sin limite,Vehículo
Reyes Aguilera Portillo,33,H Soltero,0,4,Propietario automóviles,Propietario,primaria,Dependiente,No,Menor a 25000,11262,ninguno,0,SI,SI,1,6070,18,3,no,Sin limite,Viaje
Consuela Roxana Tenorio Blázquez,23,F Casada,3,3,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,Si,25000-45000,946,ninguno,0,SI,NO,1,2146,10,1,no,Sin limite,Mejora Vivienda
Vasco Mancebo Casado,63,H Soltero,0,4,desconocido/ninguno,Propietario,Superior,Empresario,No,Mayor a 45000,497,Bancario,0,SI,SI,0,13756,60,2,no,Sin limite,Vehículo
Selena Casas Oliveras,60,F Soltera,2,4,desconocido/ninguno,Propietario,primaria,Empresario,No,25000-45000,55,Bancario,1,SI,SI,0,14782,60,3,no,entre 0-5000,Otro
Marcia Solera Rocamora,37,F Casada,0,4,Propietario automóviles,Alquiler,secundaria,Dependiente,Si,Menor a 25000,-140,ninguno,1,NO,NO,0,7685,48,2,no,Sin linea de crédito,Negocio
Macario Castillo,34,H Casado,0,3,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,-379,ninguno,0,NO,SI,0,2320,18,2,no,Sin limite,Viaje
Gastón del Palomares,36,H Soltero,2,4,desconocido/ninguno,Propietario,secundaria,Dependiente,Si,Mayor a 45000,-396,ninguno,0,SI,SI,0,846,7,3,no,Sin limite,Viaje
Tito Gisbert Téllez,57,H Soltero,0,2,desconocido/ninguno,Propietario,secundaria,Empresario,No,Menor a 25000,0,ninguno,1,SI,SI,0,14318,36,4,no,entre 0-5000,Vehículo
Chus Juliá Tenorio,52,F Soltera,1,4,Propietario automóviles,Propietario,primaria,Técnico,Si,25000-45000,733,ninguno,0,NO,NO,1,362,6,4,no,Sin limite,Vehículo
Rodrigo Manso Amores,39,H Soltero,2,4,Propietario automóviles,Propietario,Superior,Dependiente,No,25000-45000,393,ninguno,0,NO,SI,0,2212,20,4,no,Sin linea de crédito,Mejora Vivienda
María José Cazorla,38,F Soltera,0,4,desconocido/ninguno,Propietario,primaria,Empresario,No,Menor a 25000,7290,ninguno,1,NO,SI,1,12976,18,3,no,entre 0-5000,Divisas 
Tatiana Cid Rovira,25,F divorciada,3,4,Propietario apartamentos,Alquiler,secundaria,Dependiente,Si,Menor a 25000,468,ninguno,0,NO,SI,0,1283,22,4,no,Sin limite,Vehículo
Rico Berenguer Ramirez,26,H Soltero,0,1,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,0,ninguno,0,SI,SI,0,1330,12,4,no,mayor 5000,Vehículo
Tomás Amancio Menendez Solano,26,H Soltero,2,2,Propietario apartamentos,Propietario,primaria,Técnico,Si,25000-45000,3705,ninguno,0,SI,SI,0,4272,30,2,no,Sin limite,Negocio
Miguela Monreal,25,F Soltera,1,1,Propietario automóviles,Propietario,Superior,Dependiente,Si,Menor a 25000,9676,ninguno,0,NO,SI,0,2238,18,2,no,Sin limite,Viaje
Isaura del Enríquez,21,F Casada,1,2,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,No,25000-45000,1328,ninguno,0,SI,SI,0,1126,18,4,no,Sin limite,Viaje
Maximiano Urrutia Reig,40,H Soltero,0,4,Propietario apartamentos,Propietario,primaria,Empresario,No,25000-45000,8,Préstamo a plazo,0,NO,SI,0,7374,18,4,no,entre 0-5000,Mejora Vivienda
Benito Maestre Garay,27,H Soltero,3,4,Propietario automóviles,Propietario,primaria,Dependiente,Si,25000-45000,61,Bancario,0,NO,SI,1,2326,15,2,no,entre 0-5000,Negocio
Rosa María Rivera Camino,27,F Casada,0,2,Propietario automóviles,Contrato A,Superior,Dependiente,Si,Menor a 25000,6613,ninguno,0,NO,SI,0,1449,9,3,no,Sin limite,Negocio
Jonatan Barberá Belmonte,30,H Casado,1,2,Propietario apartamentos,Propietario,secundaria,Empresario,No,25000-45000,302,ninguno,0,NO,NO,0,1820,18,2,no,Sin limite,Vehículo
María Carmen Pavón Polo,19,F divorciada,0,4,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,Menor a 25000,1005,ninguno,0,NO,SI,0,983,12,1,no,entre 0-5000,Mejora Vivienda
Guiomar Cuevas Lopez,39,H Soltero,0,4,desconocido/ninguno,Propietario,secundaria,Empresario,No,Menor a 25000,109,Bancario,0,SI,NO,0,3249,36,2,no,Sin linea de crédito,Vehículo
Juana Conesa Bermúdez,31,F Soltera,0,4,Propietario automóviles,Propietario,Superior,Dependiente,Si,Mayor a 45000,1240,ninguno,0,SI,SI,0,1957,6,1,no,Sin linea de crédito,Viaje
Victoriano del Vallés,31,H Soltero,0,3,Propietario automóviles,Propietario,primaria,Empresario,Si,Menor a 25000,0,ninguno,0,NO,SI,0,2406,9,2,no,Sin limite,Mejora Vivienda
Hermenegildo Bernat Folch,32,H Soltero,3,3,desconocido/ninguno,Alquiler,desconocido,Dependiente,No,25000-45000,2923,ninguno,0,SI,NO,0,11760,39,2,no,entre 0-5000,Estudios
Angélica Rojas-Roig,55,F Soltera,2,4,desconocido/ninguno,Propietario,secundaria,Empresario,Si,Menor a 25000,0,ninguno,0,SI,NO,1,2578,12,3,no,Sin linea de crédito,Mejora Vivienda
Trinidad Valero Somoza,46,H Casado,0,2,Propietario apartamentos,Propietario,secundaria,Dependiente,No,25000-45000,43,ninguno,0,NO,NO,1,2348,36,3,no,Sin linea de crédito,Mejora Vivienda
Curro Aníbal Palmer Laguna,46,H divorciado,3,1,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,Si,Menor a 25000,288,ninguno,1,NO,NO,1,1223,12,1,no,entre 0-5000,Vehículo
Selena Martin Salinas,43,F Soltera,0,1,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,25000-45000,613,ninguno,0,SI,NO,0,1516,24,4,no,Sin limite,Viaje
Pancho Gaya Falcó,39,H Casado,2,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,25000-45000,6101,ninguno,0,SI,SI,0,1473,18,3,no,Sin limite,Viaje
Ángel Alsina Guillén,28,H Casado,1,4,Propietario de Bienes Raices,Propietario,primaria,Dependiente,Si,Mayor a 45000,168,Bancario,0,SI,SI,0,1887,18,4,no,entre 0-5000,Negocio
Gabino Tomás Lucas,27,H Soltero,0,2,Propietario automóviles,Propietario,primaria,Dependiente,No,25000-45000,7685,Bancario,1,SI,NO,1,8648,24,2,no,Sin limite,Negocio
Sebastián Gibert,27,H Soltero,0,2,Propietario automóviles,Propietario,Superior,Técnico,Si,Menor a 25000,4515,ninguno,0,NO,SI,1,802,14,4,no,Sin limite,Vehículo
Julián Piquer Valentín,43,H Soltero,3,4,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,517,ninguno,0,NO,NO,1,2899,18,4,no,entre 0-5000,Vehículo
Mauricio Colomer Carvajal,22,H Casado,0,1,Propietario apartamentos,Propietario,secundaria,Dependiente,No,25000-45000,148,ninguno,1,NO,SI,0,2039,24,1,no,entre 0-5000,Viaje
Gustavo Roma Carranza,43,H Soltero,0,4,Propietario automóviles,Propietario,primaria,Dependiente,No,Menor a 25000,-285,ninguno,0,NO,NO,1,2197,24,4,si,Sin limite,Divisas 
José Antonio Pereira Yuste,27,H Casado,3,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,887,ninguno,0,SI,SI,0,1053,15,4,no,Sin linea de crédito,Viaje
Emigdio del Velázquez,26,H divorciado,3,2,Propietario automóviles,Propietario,secundaria,Empresario,No,25000-45000,3098,ninguno,0,SI,SI,0,3235,24,3,no,Sin limite,Viaje
Berto Huerta Robles,28,H Casado,1,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,Mayor a 45000,744,ninguno,1,SI,SI,0,939,12,4,no,mayor 5000,Vehículo
Ruperta de Ibarra,20,F Casada,0,4,Propietario automóviles,Propietario,secundaria,Dependiente,No,Menor a 25000,130,ninguno,0,SI,SI,0,1967,24,4,no,entre 0-5000,Viaje
Jose Carlos Morales Grau,35,H Soltero,1,2,Propietario automóviles,Propietario,secundaria,Empresario,No,Menor a 25000,438,ninguno,0,NO,NO,0,7253,33,3,no,Sin limite,Divisas 
Maximiano Gálvez Diego,42,H Soltero,2,2,Propietario automóviles,Contrato A,secundaria,Empresario,No,Menor a 25000,0,Préstamo a plazo,1,SI,NO,0,2292,12,4,no,Sin limite,Negocio
Claudio Amo,40,H Soltero,1,2,desconocido/ninguno,Alquiler,Superior,Técnico,Si,Menor a 25000,322,ninguno,0,NO,SI,1,1597,10,3,no,Sin limite,Vehículo
Modesta Guerra Asenjo,35,F Soltera,0,2,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,186,ninguno,1,SI,SI,1,1381,24,4,no,Sin linea de crédito,Vehículo
Armando Valera Coello,35,H Soltero,2,2,Propietario apartamentos,Propietario,Superior,Dependiente,No,Mayor a 45000,3810,ninguno,0,SI,SI,0,5842,36,2,no,Sin limite,Divisas 
Paco Hervás Feijoo,33,H Soltero,0,1,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Menor a 25000,0,ninguno,1,NO,SI,0,2579,12,4,no,Sin linea de crédito,Vehículo
Flor Agustín Toro,23,F divorciada,0,2,Propietario automóviles,Alquiler,secundaria,Dependiente,No,Mayor a 45000,4380,ninguno,0,SI,SI,0,8471,18,1,no,Sin linea de crédito,Estudios
Rosario Lopez Morell,31,F Casada,0,2,Propietario automóviles,Propietario,Superior,Empresario,Si,Menor a 25000,755,Bancario,0,SI,SI,1,2782,21,1,no,Sin limite,Vehículo
Mirta Tirado Fernandez,33,F Casada,1,2,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,2070,ninguno,1,SI,NO,1,1042,18,4,no,entre 0-5000,Vehículo
Aránzazu Capdevila Quintero,20,F Casada,1,3,Propietario automóviles,Alquiler,primaria,Dependiente,Si,Menor a 25000,999,ninguno,0,NO,NO,0,3186,15,2,no,Sin limite,Vehículo
César Montes Sola,30,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,25000-45000,167,ninguno,0,SI,NO,0,2028,12,4,no,entre 0-5000,Divisas 
José Mari Cases Castejón,47,H Soltero,0,3,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,Menor a 25000,1322,ninguno,0,SI,SI,1,958,12,2,no,entre 0-5000,Vehículo
Patricio Ríos Cisneros,34,H Soltero,0,3,Propietario de Bienes Raices,Propietario,secundaria,Empresario,Si,Mayor a 45000,1076,ninguno,0,SI,SI,1,1591,21,4,no,Sin limite,Mejora Vivienda
Consuelo Bibiana Casares Morera,25,F divorciada,1,2,Propietario apartamentos,Propietario,Superior,Dependiente,No,25000-45000,502,Bancario,1,SI,NO,0,2762,12,1,no,entre 0-5000,Mejora Vivienda
Anastasio Rivera,21,H Casado,1,3,Propietario automóviles,Alquiler,Superior,Dependiente,No,Menor a 25000,1216,ninguno,0,NO,SI,0,2779,18,1,no,entre 0-5000,Divisas 
Eustaquio Matías Arteaga Carro,29,H Soltero,0,2,Propietario automóviles,Propietario,Superior,Dependiente,Si,Mayor a 45000,876,ninguno,0,SI,SI,0,2743,28,4,no,Sin limite,Viaje
Jose Luis Mata-Mendoza,46,H Soltero,1,3,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,342,ninguno,0,NO,SI,0,1149,18,4,no,Sin limite,Viaje
Urbano del Salvador,20,H Soltero,0,4,Propietario automóviles,Propietario,primaria,Dependiente,Si,25000-45000,950,ninguno,0,SI,SI,0,1313,9,1,no,Sin limite,Mejora Vivienda
Loida de Gascón,55,F Soltera,3,4,desconocido/ninguno,Propietario,primaria,No calificado,Si,25000-45000,973,ninguno,1,SI,NO,0,1190,18,2,no,Sin linea de crédito,Mejoras del hogar
Modesto Cabo Ugarte,74,H Soltero,2,4,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,25000-45000,3825,ninguno,0,NO,NO,0,3448,5,1,no,Sin limite,Negocio
Luis Ángel Torre Lopez,29,H Soltero,1,3,Propietario automóviles,Propietario,secundaria,Empresario,No,Menor a 25000,2366,Bancario,1,NO,SI,1,11328,24,2,no,entre 0-5000,Otro
Adelardo Amílcar Doménech Morillo,36,H Soltero,2,4,desconocido/ninguno,Propietario,Superior,Empresario,No,25000-45000,542,ninguno,0,SI,SI,1,1872,6,4,no,Sin linea de crédito,Mejora Vivienda
Jose Luís Franch Corral,33,H divorciado,0,2,Propietario de Bienes Raices,Propietario,primaria,Dependiente,No,25000-45000,995,ninguno,0,SI,NO,1,2058,24,4,no,Sin limite,Mejoras del hogar
Ignacio Cañizares Jaén,25,H Soltero,1,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,Mayor a 45000,20,ninguno,0,SI,SI,0,2136,9,3,no,Sin linea de crédito,Mejora Vivienda
Fausto Barreda,25,H Casado,0,1,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,Menor a 25000,228,ninguno,1,SI,SI,1,1484,12,2,no,entre 0-5000,Viaje
Álvaro Arrieta Acuña,23,H Casado,0,4,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,25000-45000,130,ninguno,0,NO,SI,1,660,6,2,no,Sin limite,Mejoras del hogar
Irene Borrell Folch,37,F Casada,0,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,Menor a 25000,217,ninguno,0,SI,NO,0,1287,24,4,no,Sin limite,Vehículo
Amador Acero Iglesias,65,H Soltero,2,4,Propietario automóviles,Propietario,Superior,No calificado,Si,Menor a 25000,0,ninguno,0,SI,SI,1,3394,42,4,no,Sin linea de crédito,Mejoras del hogar
Vicenta Roma Bartolomé,26,F Casada,0,1,Propietario de Bienes Raices,Propietario,Superior,No calificado,Si,Menor a 25000,259,ninguno,1,NO,NO,1,609,12,4,no,mayor 5000,Negocio
Rubén Requena Lillo,39,H Soltero,1,4,Propietario automóviles,Propietario,secundaria,Empresario,No,25000-45000,619,ninguno,0,SI,NO,1,1884,12,4,no,Sin limite,Vehículo
Pili Salcedo Castellanos,30,F divorciada,1,3,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,644,ninguno,0,NO,SI,0,1620,12,2,no,Sin linea de crédito,Mejora Vivienda
Samuel Marcio Villalba Linares,29,H Soltero,1,3,Propietario automóviles,Propietario,Superior,Dependiente,No,Menor a 25000,22,Bancario,0,NO,SI,0,2629,20,2,no,entre 0-5000,Otro
Fermín Tur,41,H Soltero,1,4,Propietario automóviles,Propietario,Superior,Técnico,Si,25000-45000,4303,Bancario,1,SI,NO,1,719,12,4,no,Sin limite,Estudios
Nilda Menendez Cobo,30,F Casada,0,3,Propietario automóviles,Propietario,secundaria,Empresario,No,Mayor a 45000,239,ninguno,1,SI,SI,0,5096,48,2,no,entre 0-5000,Mejora Vivienda
Asunción del España,41,F Casada,0,4,Propietario apartamentos,Alquiler,secundaria,Técnico,Si,25000-45000,275,ninguno,0,SI,SI,0,1244,9,4,no,Sin limite,Estudios
Jennifer Monreal Suárez,34,F divorciada,0,4,Propietario automóviles,Contrato A,Superior,Dependiente,No,25000-45000,1221,ninguno,1,NO,SI,1,1842,36,4,no,Sin linea de crédito,Vehículo
Ernesto Fonseca Carrera,35,H Soltero,0,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,816,ninguno,0,SI,SI,0,2576,7,2,no,entre 0-5000,Viaje
Yésica del Tomé,55,F Casada,0,4,Propietario de Bienes Raices,Propietario,secundaria,Empresario,No,25000-45000,1222,ninguno,0,SI,SI,0,1424,12,3,no,mayor 5000,Mejora Vivienda
Toni Luna,61,H Casado,0,3,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,25000-45000,2363,Préstamo a plazo,1,SI,SI,0,1512,15,3,no,entre 0-5000,Mejoras del hogar
Sosimo Vall Tena,30,H Soltero,2,2,Propietario automóviles,Propietario,Superior,Empresario,No,25000-45000,2262,ninguno,0,NO,SI,0,11054,36,4,no,Sin limite,Divisas 
Vanesa Agudo Iriarte,29,F Casada,3,1,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Mayor a 45000,2,ninguno,0,SI,NO,0,518,6,3,no,Sin limite,Viaje
José Ángel Montes Niño,34,H Soltero,0,4,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,2,ninguno,0,SI,SI,0,2759,12,2,no,Sin limite,Mejora Vivienda
Gonzalo Ibáñez-Blanch,35,H Soltero,3,4,Propietario automóviles,Propietario,secundaria,Empresario,No,25000-45000,4508,ninguno,0,NO,NO,0,2670,24,4,no,Sin limite,Divisas 
Moisés Barrena Vidal,31,H Soltero,0,3,Propietario apartamentos,Propietario,secundaria,Dependiente,No,25000-45000,-402,ninguno,1,SI,NO,1,4817,24,2,no,Sin linea de crédito,Vehículo
Nuria Hernando Cortés,29,F divorciada,0,1,desconocido/ninguno,Propietario,secundaria,Empresario,No,25000-45000,1577,ninguno,0,NO,SI,0,2679,24,4,no,Sin limite,Divisas 
